dataset,fitness_method,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mean_per_class_accuracy_mean,mean_per_class_accuracy_std
real_breast_cancer_bin,accuracy,0.8377192982456141,0.058168030011923264,0.8197340588198618,0.07088994921454606,0.8208783586448598,0.06917561711274123
real_breast_cancer_bin,f1_score,0.8355263157894737,0.04180749771294972,0.8146303508574401,0.061451520968572926,0.8159864193925233,0.066005114594186
real_breast_cancer_bin,pearson_r2,0.8508771929824561,0.057223350265441314,0.8309873139350548,0.0735747705023838,0.8235433703271028,0.0710746633678261
real_digits_10c,accuracy,0.2175925925925926,0.035908739684565406,0.1693297138080378,0.029481082269000237,0.2178169546211999,0.036014977779234875
real_digits_10c,f1_score,0.5016203703703703,0.0358422744611158,0.4655398661579846,0.047378267284113235,0.5017244225027244,0.035721480541470806
real_digits_10c,pearson_r2,0.494212962962963,0.03593782616002766,0.4460020797509279,0.047084821929104244,0.4941788714430223,0.036110471374413415
real_iris_3c,accuracy,0.8138888888888889,0.12168442285449729,0.7919951754847425,0.1512780080812454,0.8138888888888889,0.12168442285449724
real_iris_3c,f1_score,0.9249999999999999,0.049612697498588224,0.92384836254738,0.0511205918638739,0.925,0.04961269749858819
real_iris_3c,pearson_r2,0.9305555555555556,0.03413390479845699,0.9292928479223437,0.035164487124998124,0.9305555555555555,0.03413390479845698
real_wine_3c,accuracy,0.6875,0.08998051724804079,0.6672926514753865,0.1058985907086239,0.7187830687830687,0.07816285196237238
real_wine_3c,f1_score,0.7569444444444444,0.10452612874884848,0.7491279895979437,0.1123902916039264,0.7706349206349207,0.09173182670769259
real_wine_3c,pearson_r2,0.7407407407407407,0.07112171988767227,0.7294453026612522,0.08911332781544681,0.7667328042328042,0.06064749903006669
syn_3c_balanced,accuracy,0.6127777777777779,0.04340094440572282,0.6006757040839479,0.0466418644738816,0.6127342312931715,0.04485565690679316
syn_3c_balanced,f1_score,0.6277777777777778,0.0383454087260831,0.6055519376017302,0.05250151367641483,0.6260161978646117,0.03922589688387181
syn_3c_balanced,pearson_r2,0.6238888888888889,0.043938087754880215,0.5941357614826748,0.06279966207994171,0.6230344356452864,0.044890407409929944
syn_3c_imbalanced,accuracy,0.7605555555555555,0.04130210887510305,0.5745509681430634,0.02945494813595706,0.5862536289496839,0.028999747581140267
syn_3c_imbalanced,f1_score,0.76,0.04586614986788954,0.4885736228581158,0.11417952857224724,0.4878904015316312,0.08602853308396587
syn_3c_imbalanced,pearson_r2,0.7722222222222221,0.040658165474515534,0.5688416504052665,0.0609551505752565,0.5784591430207795,0.06468956755269793
syn_3c_imbalanced_high_overlap,accuracy,0.6489583333333333,0.024540039561228636,0.32058117017310095,0.06321014207137828,0.35872418929256544,0.0435448239908605
syn_3c_imbalanced_high_overlap,f1_score,0.6723958333333333,0.0074934867551761436,0.2920387100653994,0.04152816030886796,0.3464204195198347,0.022719526226906653
syn_3c_imbalanced_high_overlap,pearson_r2,0.5916666666666667,0.1003682455870492,0.38358664993311287,0.040386087907525944,0.41857899822568156,0.036679454386835356
syn_4c_imbalanced_complete_overlap,accuracy,0.7078703703703704,0.016296033247035224,0.21315246316864542,0.015284147664098505,0.2540686374795417,0.012341716305221597
syn_4c_imbalanced_complete_overlap,f1_score,0.7106481481481481,0.01531980750719843,0.20768981283927704,0.002603219339259724,0.25,0.0
syn_4c_imbalanced_complete_overlap,pearson_r2,0.36851851851851847,0.162066134953498,0.20255223197010974,0.03049751704476295,0.2547943594456412,0.0305158073936953
syn_5c_imbalanced,accuracy,0.5020833333333333,0.06465587324013532,0.24315484456109038,0.06462818343574711,0.3102049879539697,0.04225580218790475
syn_5c_imbalanced,f1_score,0.6320833333333333,0.027179317095500716,0.34797980822255636,0.03962714988828099,0.3419459611276357,0.03452529371585271
syn_5c_imbalanced,pearson_r2,0.625,0.040892813821284325,0.39410817263654724,0.07697594455324458,0.41642668766740837,0.07149499820965635
syn_bin_balanced,accuracy,0.7854166666666667,0.03937567361759676,0.7830782079634011,0.0402897473014373,0.785846023955147,0.0392039984179711
syn_bin_balanced,f1_score,0.7604166666666667,0.07946762967816938,0.7530964092234993,0.08552350971162416,0.7595028265307943,0.08021369981920204
syn_bin_balanced,pearson_r2,0.7979166666666666,0.049138998806484695,0.7975874992645074,0.049116744635352774,0.797956219267895,0.04918935621047972
syn_bin_imbalanced,accuracy,0.8861111111111111,0.0055555555555555775,0.46980394702660555,0.001559989878599326,0.4992162932389937,0.0013574288211318736
syn_bin_imbalanced,f1_score,0.8451388888888889,0.04207554016583643,0.6594279267031677,0.045786872222292094,0.6895387060568259,0.06842974503178778
syn_bin_imbalanced,pearson_r2,0.8638888888888889,0.018839805508681303,0.6547948764003934,0.040176027812740794,0.6619868341061329,0.061851403197326224
syn_bin_imbalanced_complete_overlap,accuracy,0.9029761904761904,0.011649039161179122,0.4744875927893482,0.0032276880495876905,0.5,0.0
syn_bin_imbalanced_complete_overlap,f1_score,0.5910714285714285,0.09504258205471966,0.44175441508749586,0.04103151628344405,0.5104090707202033,0.04079676608388677
syn_bin_imbalanced_complete_overlap,pearson_r2,0.7095238095238094,0.12159186033146387,0.49310376425646824,0.0420862553713948,0.5361389459285302,0.033273735225161076
