dataset,fitness_method,class_label,per_class_accuracy_mean,per_class_accuracy_std
syn_3c_imbalanced_high_overlap,accuracy,0,0.9346201179270799,0.06986533480882538
syn_3c_imbalanced_high_overlap,accuracy,1,0.08226678829426506,0.14470382498082807
syn_3c_imbalanced_high_overlap,accuracy,2,0.05928566165635131,0.07977708586736561
syn_3c_imbalanced_high_overlap,f1_score,0,0.9976555080721747,0.0043233962102148995
syn_3c_imbalanced_high_overlap,f1_score,1,0.02639411027568922,0.04559582563200249
syn_3c_imbalanced_high_overlap,f1_score,2,0.01521164021164021,0.027164752351736574
syn_3c_imbalanced_high_overlap,pearson_r2,0,0.7097276342560037,0.22569414737355317
syn_3c_imbalanced_high_overlap,pearson_r2,1,0.504899410588265,0.28021279271048294
syn_3c_imbalanced_high_overlap,pearson_r2,2,0.041109949832775924,0.04634567487136023
syn_4c_imbalanced_complete_overlap,accuracy,0,0.9954412165848336,0.00797774924576528
syn_4c_imbalanced_complete_overlap,accuracy,1,0.0,0.0
syn_4c_imbalanced_complete_overlap,accuracy,2,0.0,0.0
syn_4c_imbalanced_complete_overlap,accuracy,3,0.020833333333333332,0.0551198189805123
syn_4c_imbalanced_complete_overlap,f1_score,0,1.0,0.0
syn_4c_imbalanced_complete_overlap,f1_score,1,0.0,0.0
syn_4c_imbalanced_complete_overlap,f1_score,2,0.0,0.0
syn_4c_imbalanced_complete_overlap,f1_score,3,0.0,0.0
syn_4c_imbalanced_complete_overlap,pearson_r2,0,0.43143247079620617,0.25924935360996454
syn_4c_imbalanced_complete_overlap,pearson_r2,1,0.22739120038259208,0.16559625092635188
syn_4c_imbalanced_complete_overlap,pearson_r2,2,0.18137649387649388,0.18447991867922334
syn_4c_imbalanced_complete_overlap,pearson_r2,3,0.17897727272727273,0.21521644280134852
syn_bin_imbalanced_complete_overlap,accuracy,0,1.0,0.0
syn_bin_imbalanced_complete_overlap,accuracy,1,0.0,0.0
syn_bin_imbalanced_complete_overlap,f1_score,0,0.6093083754440003,0.11760972196056853
syn_bin_imbalanced_complete_overlap,f1_score,1,0.4115097659964062,0.15249811517613138
syn_bin_imbalanced_complete_overlap,pearson_r2,0,0.7478478349372674,0.1477138474329277
syn_bin_imbalanced_complete_overlap,pearson_r2,1,0.3244300569197931,0.16572381704849778
syn_bin_imbalanced_high_overlap,accuracy,0,1.0,0.0
syn_bin_imbalanced_high_overlap,accuracy,1,0.0,0.0
syn_bin_imbalanced_high_overlap,f1_score,0,0.5238576437800047,0.15288416771356658
syn_bin_imbalanced_high_overlap,f1_score,1,0.5166965744631186,0.14132883377138475
syn_bin_imbalanced_high_overlap,pearson_r2,0,0.6938437955942482,0.16433232484236818
syn_bin_imbalanced_high_overlap,pearson_r2,1,0.335402475384093,0.15528601132504902
