dataset,seed,fitness_method,class_label,per_class_accuracy
real_breast_cancer_bin,0,accuracy,0,0.390625
real_breast_cancer_bin,0,accuracy,1,0.9719626168224299
real_breast_cancer_bin,0,f1_score,0,0.796875
real_breast_cancer_bin,0,f1_score,1,0.8878504672897196
real_breast_cancer_bin,0,pearson_r2,0,0.78125
real_breast_cancer_bin,0,pearson_r2,1,0.8878504672897196
real_breast_cancer_bin,1,accuracy,0,0.59375
real_breast_cancer_bin,1,accuracy,1,0.9439252336448598
real_breast_cancer_bin,1,f1_score,0,0.53125
real_breast_cancer_bin,1,f1_score,1,0.9906542056074766
real_breast_cancer_bin,1,pearson_r2,0,0.734375
real_breast_cancer_bin,1,pearson_r2,1,0.9906542056074766
real_breast_cancer_bin,2,accuracy,0,0.921875
real_breast_cancer_bin,2,accuracy,1,0.794392523364486
real_breast_cancer_bin,2,f1_score,0,0.84375
real_breast_cancer_bin,2,f1_score,1,0.9252336448598131
real_breast_cancer_bin,2,pearson_r2,0,0.734375
real_breast_cancer_bin,2,pearson_r2,1,0.9906542056074766
real_breast_cancer_bin,3,accuracy,0,0.71875
real_breast_cancer_bin,3,accuracy,1,0.8785046728971962
real_breast_cancer_bin,3,f1_score,0,0.71875
real_breast_cancer_bin,3,f1_score,1,0.8785046728971962
real_breast_cancer_bin,3,pearson_r2,0,0.375
real_breast_cancer_bin,3,pearson_r2,1,0.9719626168224299
real_breast_cancer_bin,4,accuracy,0,0.96875
real_breast_cancer_bin,4,accuracy,1,0.6448598130841121
real_breast_cancer_bin,4,f1_score,0,0.359375
real_breast_cancer_bin,4,f1_score,1,0.9906542056074766
real_breast_cancer_bin,4,pearson_r2,0,0.8125
real_breast_cancer_bin,4,pearson_r2,1,0.897196261682243
real_breast_cancer_bin,5,accuracy,0,0.84375
real_breast_cancer_bin,5,accuracy,1,0.9345794392523364
real_breast_cancer_bin,5,f1_score,0,0.953125
real_breast_cancer_bin,5,f1_score,1,0.822429906542056
real_breast_cancer_bin,5,pearson_r2,0,0.8125
real_breast_cancer_bin,5,pearson_r2,1,0.9906542056074766
real_breast_cancer_bin,6,accuracy,0,0.75
real_breast_cancer_bin,6,accuracy,1,0.9532710280373832
real_breast_cancer_bin,6,f1_score,0,0.953125
real_breast_cancer_bin,6,f1_score,1,0.719626168224299
real_breast_cancer_bin,6,pearson_r2,0,0.84375
real_breast_cancer_bin,6,pearson_r2,1,0.8691588785046729
real_breast_cancer_bin,7,accuracy,0,0.84375
real_breast_cancer_bin,7,accuracy,1,0.9813084112149533
real_breast_cancer_bin,7,f1_score,0,0.75
real_breast_cancer_bin,7,f1_score,1,0.9345794392523364
real_breast_cancer_bin,7,pearson_r2,0,0.625
real_breast_cancer_bin,7,pearson_r2,1,0.8598130841121495
real_iris_3c,0,accuracy,0,1.0
real_iris_3c,0,accuracy,1,0.6666666666666666
real_iris_3c,0,accuracy,2,0.8666666666666667
real_iris_3c,0,f1_score,0,1.0
real_iris_3c,0,f1_score,1,1.0
real_iris_3c,0,f1_score,2,0.8666666666666667
real_iris_3c,0,pearson_r2,0,1.0
real_iris_3c,0,pearson_r2,1,1.0
real_iris_3c,0,pearson_r2,2,0.8666666666666667
real_iris_3c,1,accuracy,0,1.0
real_iris_3c,1,accuracy,1,0.2
real_iris_3c,1,accuracy,2,1.0
real_iris_3c,1,f1_score,0,1.0
real_iris_3c,1,f1_score,1,0.8666666666666667
real_iris_3c,1,f1_score,2,0.9333333333333333
real_iris_3c,1,pearson_r2,0,1.0
real_iris_3c,1,pearson_r2,1,0.8
real_iris_3c,1,pearson_r2,2,1.0
real_iris_3c,2,accuracy,0,1.0
real_iris_3c,2,accuracy,1,0.7333333333333333
real_iris_3c,2,accuracy,2,1.0
real_iris_3c,2,f1_score,0,1.0
real_iris_3c,2,f1_score,1,1.0
real_iris_3c,2,f1_score,2,1.0
real_iris_3c,2,pearson_r2,0,1.0
real_iris_3c,2,pearson_r2,1,1.0
real_iris_3c,2,pearson_r2,2,1.0
real_iris_3c,3,accuracy,0,1.0
real_iris_3c,3,accuracy,1,0.8
real_iris_3c,3,accuracy,2,1.0
real_iris_3c,3,f1_score,0,1.0
real_iris_3c,3,f1_score,1,0.8666666666666667
real_iris_3c,3,f1_score,2,0.8666666666666667
real_iris_3c,3,pearson_r2,0,1.0
real_iris_3c,3,pearson_r2,1,0.8666666666666667
real_iris_3c,3,pearson_r2,2,0.8666666666666667
real_iris_3c,4,accuracy,0,1.0
real_iris_3c,4,accuracy,1,0.9333333333333333
real_iris_3c,4,accuracy,2,0.9333333333333333
real_iris_3c,4,f1_score,0,1.0
real_iris_3c,4,f1_score,1,0.9333333333333333
real_iris_3c,4,f1_score,2,0.9333333333333333
real_iris_3c,4,pearson_r2,0,1.0
real_iris_3c,4,pearson_r2,1,0.8666666666666667
real_iris_3c,4,pearson_r2,2,0.9333333333333333
real_iris_3c,5,accuracy,0,1.0
real_iris_3c,5,accuracy,1,0.8
real_iris_3c,5,accuracy,2,0.3333333333333333
real_iris_3c,5,f1_score,0,1.0
real_iris_3c,5,f1_score,1,1.0
real_iris_3c,5,f1_score,2,0.8
real_iris_3c,5,pearson_r2,0,1.0
real_iris_3c,5,pearson_r2,1,0.8666666666666667
real_iris_3c,5,pearson_r2,2,0.9333333333333333
real_iris_3c,6,accuracy,0,1.0
real_iris_3c,6,accuracy,1,0.0
real_iris_3c,6,accuracy,2,0.7333333333333333
real_iris_3c,6,f1_score,0,1.0
real_iris_3c,6,f1_score,1,0.8666666666666667
real_iris_3c,6,f1_score,2,0.6
real_iris_3c,6,pearson_r2,0,1.0
real_iris_3c,6,pearson_r2,1,0.9333333333333333
real_iris_3c,6,pearson_r2,2,0.7333333333333333
real_iris_3c,7,accuracy,0,1.0
real_iris_3c,7,accuracy,1,0.6
real_iris_3c,7,accuracy,2,0.9333333333333333
real_iris_3c,7,f1_score,0,1.0
real_iris_3c,7,f1_score,1,0.9333333333333333
real_iris_3c,7,f1_score,2,0.7333333333333333
real_iris_3c,7,pearson_r2,0,1.0
real_iris_3c,7,pearson_r2,1,0.6666666666666666
real_iris_3c,7,pearson_r2,2,1.0
real_wine_3c,0,accuracy,0,0.6666666666666666
real_wine_3c,0,accuracy,1,0.23809523809523808
real_wine_3c,0,accuracy,2,1.0
real_wine_3c,0,f1_score,0,0.8333333333333334
real_wine_3c,0,f1_score,1,0.38095238095238093
real_wine_3c,0,f1_score,2,1.0
real_wine_3c,0,pearson_r2,0,0.7777777777777778
real_wine_3c,0,pearson_r2,1,0.7142857142857143
real_wine_3c,0,pearson_r2,2,1.0
real_wine_3c,1,accuracy,0,0.8888888888888888
real_wine_3c,1,accuracy,1,0.047619047619047616
real_wine_3c,1,accuracy,2,1.0
real_wine_3c,1,f1_score,0,0.6666666666666666
real_wine_3c,1,f1_score,1,0.7142857142857143
real_wine_3c,1,f1_score,2,0.8
real_wine_3c,1,pearson_r2,0,0.9444444444444444
real_wine_3c,1,pearson_r2,1,0.38095238095238093
real_wine_3c,1,pearson_r2,2,0.8666666666666667
real_wine_3c,2,accuracy,0,0.7777777777777778
real_wine_3c,2,accuracy,1,0.3333333333333333
real_wine_3c,2,accuracy,2,0.8
real_wine_3c,2,f1_score,0,0.2222222222222222
real_wine_3c,2,f1_score,1,0.7619047619047619
real_wine_3c,2,f1_score,2,1.0
real_wine_3c,2,pearson_r2,0,0.8333333333333334
real_wine_3c,2,pearson_r2,1,0.42857142857142855
real_wine_3c,2,pearson_r2,2,0.9333333333333333
real_wine_3c,3,accuracy,0,0.7222222222222222
real_wine_3c,3,accuracy,1,0.9047619047619048
real_wine_3c,3,accuracy,2,0.9333333333333333
real_wine_3c,3,f1_score,0,0.9444444444444444
real_wine_3c,3,f1_score,1,0.8571428571428571
real_wine_3c,3,f1_score,2,0.8666666666666667
real_wine_3c,3,pearson_r2,0,0.6666666666666666
real_wine_3c,3,pearson_r2,1,0.9047619047619048
real_wine_3c,3,pearson_r2,2,0.9333333333333333
real_wine_3c,4,accuracy,0,1.0
real_wine_3c,4,accuracy,1,0.38095238095238093
real_wine_3c,4,accuracy,2,0.8666666666666667
real_wine_3c,4,f1_score,0,0.9444444444444444
real_wine_3c,4,f1_score,1,0.9523809523809523
real_wine_3c,4,f1_score,2,0.8
real_wine_3c,4,pearson_r2,0,0.7777777777777778
real_wine_3c,4,pearson_r2,1,0.5238095238095238
real_wine_3c,4,pearson_r2,2,0.8666666666666667
real_wine_3c,5,accuracy,0,0.8333333333333334
real_wine_3c,5,accuracy,1,0.42857142857142855
real_wine_3c,5,accuracy,2,1.0
real_wine_3c,5,f1_score,0,1.0
real_wine_3c,5,f1_score,1,0.3333333333333333
real_wine_3c,5,f1_score,2,0.9333333333333333
real_wine_3c,5,pearson_r2,0,1.0
real_wine_3c,5,pearson_r2,1,0.3333333333333333
real_wine_3c,5,pearson_r2,2,1.0
real_wine_3c,6,accuracy,0,0.8888888888888888
real_wine_3c,6,accuracy,1,0.5238095238095238
real_wine_3c,6,accuracy,2,1.0
real_wine_3c,6,f1_score,0,0.8888888888888888
real_wine_3c,6,f1_score,1,0.8571428571428571
real_wine_3c,6,f1_score,2,0.8
real_wine_3c,6,pearson_r2,0,0.9444444444444444
real_wine_3c,6,pearson_r2,1,0.047619047619047616
real_wine_3c,6,pearson_r2,2,1.0
real_wine_3c,7,accuracy,0,0.7777777777777778
real_wine_3c,7,accuracy,1,0.23809523809523808
real_wine_3c,7,accuracy,2,1.0
real_wine_3c,7,f1_score,0,0.8333333333333334
real_wine_3c,7,f1_score,1,0.23809523809523808
real_wine_3c,7,f1_score,2,0.8666666666666667
real_wine_3c,7,pearson_r2,0,1.0
real_wine_3c,7,pearson_r2,1,0.5238095238095238
real_wine_3c,7,pearson_r2,2,1.0
real_digits_10c,0,accuracy,0,1.0
real_digits_10c,0,accuracy,1,0.14545454545454545
real_digits_10c,0,accuracy,2,0.3018867924528302
real_digits_10c,0,accuracy,3,0.01818181818181818
real_digits_10c,0,accuracy,4,0.2222222222222222
real_digits_10c,0,accuracy,5,0.0
real_digits_10c,0,accuracy,6,0.16666666666666666
real_digits_10c,0,accuracy,7,0.2037037037037037
real_digits_10c,0,accuracy,8,0.057692307692307696
real_digits_10c,0,accuracy,9,0.0
real_digits_10c,0,f1_score,0,1.0
real_digits_10c,0,f1_score,1,0.14545454545454545
real_digits_10c,0,f1_score,2,0.5471698113207547
real_digits_10c,0,f1_score,3,0.6727272727272727
real_digits_10c,0,f1_score,4,0.7962962962962963
real_digits_10c,0,f1_score,5,0.0
real_digits_10c,0,f1_score,6,0.8703703703703703
real_digits_10c,0,f1_score,7,0.6666666666666666
real_digits_10c,0,f1_score,8,0.19230769230769232
real_digits_10c,0,f1_score,9,0.3148148148148148
real_digits_10c,0,pearson_r2,0,0.9629629629629629
real_digits_10c,0,pearson_r2,1,0.0
real_digits_10c,0,pearson_r2,2,0.660377358490566
real_digits_10c,0,pearson_r2,3,0.05454545454545454
real_digits_10c,0,pearson_r2,4,0.6481481481481481
real_digits_10c,0,pearson_r2,5,0.5636363636363636
real_digits_10c,0,pearson_r2,6,0.8518518518518519
real_digits_10c,0,pearson_r2,7,0.7037037037037037
real_digits_10c,0,pearson_r2,8,0.2692307692307692
real_digits_10c,0,pearson_r2,9,0.37037037037037035
real_digits_10c,1,accuracy,0,1.0
real_digits_10c,1,accuracy,1,0.10909090909090909
real_digits_10c,1,accuracy,2,0.018867924528301886
real_digits_10c,1,accuracy,3,0.0
real_digits_10c,1,accuracy,4,0.037037037037037035
real_digits_10c,1,accuracy,5,0.2545454545454545
real_digits_10c,1,accuracy,6,0.09259259259259259
real_digits_10c,1,accuracy,7,0.5185185185185185
real_digits_10c,1,accuracy,8,0.0
real_digits_10c,1,accuracy,9,0.0
real_digits_10c,1,f1_score,0,0.9629629629629629
real_digits_10c,1,f1_score,1,0.14545454545454545
real_digits_10c,1,f1_score,2,0.37735849056603776
real_digits_10c,1,f1_score,3,0.0
real_digits_10c,1,f1_score,4,0.46296296296296297
real_digits_10c,1,f1_score,5,0.4
real_digits_10c,1,f1_score,6,0.5370370370370371
real_digits_10c,1,f1_score,7,0.9259259259259259
real_digits_10c,1,f1_score,8,0.5384615384615384
real_digits_10c,1,f1_score,9,0.37037037037037035
real_digits_10c,1,pearson_r2,0,0.8333333333333334
