dataset,seed,fitness_method,accuracy,macro_f1,mean_per_class_accuracy
real_breast_cancer_bin,0,accuracy,0.7543859649122807,0.6877391304347826,0.681293808411215
real_breast_cancer_bin,0,f1_score,0.8538011695906432,0.8434352682658854,0.8423627336448598
real_breast_cancer_bin,0,pearson_r2,0.847953216374269,0.8366402116402116,0.8345502336448598
real_breast_cancer_bin,1,accuracy,0.8128654970760234,0.7834757834757835,0.7688376168224299
real_breast_cancer_bin,1,f1_score,0.8187134502923976,0.7796483352038908,0.7609521028037383
real_breast_cancer_bin,1,pearson_r2,0.8947368421052632,0.8805124223602485,0.8625146028037383
real_breast_cancer_bin,2,accuracy,0.8421052631578947,0.838368632942412,0.858133761682243
real_breast_cancer_bin,2,f1_score,0.8947368421052632,0.8869047619047619,0.8844918224299065
real_breast_cancer_bin,2,pearson_r2,0.8947368421052632,0.8805124223602485,0.8625146028037383
real_breast_cancer_bin,3,accuracy,0.8187134502923976,0.8032074841296357,0.7986273364485981
real_breast_cancer_bin,3,f1_score,0.8187134502923976,0.8032074841296357,0.7986273364485981
real_breast_cancer_bin,3,pearson_r2,0.7485380116959064,0.6780788932183355,0.673481308411215
real_breast_cancer_bin,4,accuracy,0.7660818713450293,0.7656892299260072,0.806804906542056
real_breast_cancer_bin,4,f1_score,0.7543859649122807,0.6786864710093057,0.6750146028037383
real_breast_cancer_bin,4,pearson_r2,0.8654970760233918,0.8559604468046145,0.8548481308411215
real_breast_cancer_bin,5,accuracy,0.9005847953216374,0.8928294930875575,0.8891647196261683
real_breast_cancer_bin,5,f1_score,0.8713450292397661,0.8680555555555556,0.8877774532710281
real_breast_cancer_bin,5,pearson_r2,0.9239766081871345,0.9155555555555555,0.9015771028037383
real_breast_cancer_bin,6,accuracy,0.8771929824561403,0.8635897435897435,0.8516355140186915
real_breast_cancer_bin,6,f1_score,0.8070175438596491,0.8053130929791271,0.8363755841121495
real_breast_cancer_bin,6,pearson_r2,0.8596491228070176,0.851948051948052,0.8564544392523364
real_breast_cancer_bin,7,accuracy,0.9298245614035088,0.922972972972973,0.9125292056074766
real_breast_cancer_bin,7,f1_score,0.8654970760233918,0.8517918378113578,0.8422897196261683
real_breast_cancer_bin,7,pearson_r2,0.7719298245614035,0.7486905075931718,0.7424065420560748
real_iris_3c,0,accuracy,0.8444444444444444,0.8464607464607464,0.8444444444444444
real_iris_3c,0,f1_score,0.9555555555555556,0.9553571428571429,0.9555555555555556
real_iris_3c,0,pearson_r2,0.9555555555555556,0.9553571428571429,0.9555555555555556
real_iris_3c,1,accuracy,0.7333333333333333,0.6775941952967917,0.7333333333333334
real_iris_3c,1,f1_score,0.9333333333333333,0.9331896551724138,0.9333333333333332
real_iris_3c,1,pearson_r2,0.9333333333333333,0.9313769414575866,0.9333333333333332
